DESCRIPTION,DATE,AMOUNT,TRANSACTION TYPE,Merchant,Signed Amount,YEAR,Month,Day,reference_number_improved,Category
"inr 5660.54 successfully debited account xxxx3188 via upi big bazaar 04apr2025. ref541986031594, bob paytm",2025-04-04,5660.54,debited,big bazaar,-5660.54,2025,4,4,541986031594,Shopping
"dear user, rs. 5755.66 debited account xxxx7413 02jul2025 upi payment suraj sharma. reference 932025254485, bank sbi",2025-02-07,5755.66,debited,suraj sharma,-5755.66,2025,2,7,932025254485,Personal & Others
"dear user, rs. 5077.16 debited account xxxx7359 25apr2025 upi payment suraj sharma. reference 436741621052, bank bob",2025-04-25,5077.16,debited,suraj sharma,-5077.16,2025,4,25,436741621052,Personal & Others
"inr 1093.82 successfully debited account xxxx2841 via upi zomato 14jul2025. ref301078220767, bob amazon pay",2025-07-14,1093.82,debited,zomato,-1093.82,2025,7,14,301078220767,Food & Dining
"dear user, rs. 1322.73 debited account xxxx7840 19may2025 upi payment jio mart. reference 835599090847, bank icici",2025-05-19,1322.73,debited,jio mart,-1322.73,2025,5,19,835599090847,Shopping
payment inr 4382.59 made successfully ac xxxx7606 myntra via bhim 13jun2025. transaction id 959230059187,2025-06-13,4382.59,debited,myntra,-4382.59,2025,6,13,959230059187,Shopping
"youve paid rs. 6249.97 jio mart using phonepe 16apr2025. ac xxxx3844, ref 366521526359, bank hdfc",2025-04-16,6249.97,debited,jio mart,-6249.97,2025,4,16,366521526359,Shopping
transaction alert rs. 4334.2 debited ac xxxx5631 11jul2025 via phonepe big bazaar. ref 307876124786,2025-11-07,4334.2,debited,big bazaar,-4334.2,2025,11,7,307876124786,Shopping
"inr 3046.7 successfully debited account xxxx1313 via upi myntra 03jun2025. ref761620679111, icici amazon pay",2025-03-06,3046.7,debited,myntra,-3046.7,2025,3,6,761620679111,Shopping
"youve paid rs. 5751.15 zomato using phonepe 14may2025. ac xxxx3299, ref 575429293529, bank bob",2025-05-14,5751.15,debited,zomato,-5751.15,2025,5,14,575429293529,Food & Dining
"dear user, rs. 4778.21 debited account xxxx7802 08jun2025 upi payment jio mart. reference 689396133930, bank hdfc",2025-08-06,4778.21,debited,jio mart,-4778.21,2025,8,6,689396133930,Shopping
"dear user, rs. 1597.15 debited account xxxx8702 22jun2025 upi payment rahul mehta. reference 259919147101, bank bob",2025-06-22,1597.15,debited,rahul mehta,-1597.15,2025,6,22,259919147101,Personal & Others
"youve paid rs. 3530.07 suraj sharma using paytm 02jul2025. ac xxxx1123, ref 892156706223, bank sbi",2025-02-07,3530.07,debited,suraj sharma,-3530.07,2025,2,7,892156706223,Personal & Others
payment inr 3283.71 made successfully ac xxxx9278 suraj sharma via paytm 11apr2025. transaction id 990733557523,2025-11-04,3283.71,debited,suraj sharma,-3283.71,2025,11,4,990733557523,Personal & Others
transaction alert rs. 4303.56 debited ac xxxx8614 17jul2025 via bhim zomato. ref 457278783008,2025-07-17,4303.56,debited,zomato,-4303.56,2025,7,17,457278783008,Food & Dining
"youve paid rs. 313.8 jio mart using phonepe 20may2025. ac xxxx5650, ref 176173119813, bank bob",2025-05-20,313.8,debited,jio mart,-313.8,2025,5,20,176173119813,Shopping
transaction alert rs. 4732.17 debited ac xxxx8502 10apr2025 via amazon pay myntra. ref 875460382854,2025-10-04,4732.17,debited,myntra,-4732.17,2025,10,4,875460382854,Shopping
payment inr 1195.51 made successfully ac xxxx7030 rahul mehta via paytm 07apr2025. transaction id 159679200971,2025-07-04,1195.51,debited,rahul mehta,-1195.51,2025,7,4,159679200971,Personal & Others
"dear user, rs. 5572.41 debited account xxxx1428 02may2025 upi payment jio mart. reference 151000023224, bank icici",2025-02-05,5572.41,debited,jio mart,-5572.41,2025,2,5,151000023224,Shopping
"dear user, rs. 2617.11 debited account xxxx1027 27jul2025 upi payment rahul mehta. reference 543452844997, bank bob",2025-07-27,2617.41,debited,rahul mehta,-2617.41,2025,7,27,543452844997,Personal & Others
"dear user, rs. 6355.27 debited account xxxx4702 11jul2025 upi payment rahul mehta. reference 864494450915, bank icici",2025-11-07,6355.27,debited,rahul mehta,-6355.27,2025,11,7,864494450915,Personal & Others
"inr 2271.0 successfully debited account xxxx2414 via upi flipkart 20jul2025. ref516071816279, hdfc google pay",2025-07-20,2271.0,debited,flipkart,-2271.0,2025,7,20,516071816279,Shopping
"dear user, rs. 3803.23 debited account xxxx6095 29apr2025 upi payment big bazaar. reference 145183359135, bank bob",2025-04-29,3803.23,debited,big bazaar,-3803.23,2025,4,29,145183359135,Shopping
"inr 1610.16 successfully debited account xxxx8742 via upi jio mart 07apr2025. ref583669179997, bob google pay",2025-07-04,1610.16,debited,jio mart,-1610.16,2025,7,4,583669179997,Shopping
"youve paid rs. 6066.62 myntra using amazon pay 19apr2025. ac xxxx1626, ref 534068893059, bank axis",2025-04-19,6066.62,debited,myntra,-6066.62,2025,4,19,534068893059,Shopping
"youve paid rs. 5910.95 zomato using paytm 26may2025. ac xxxx8070, ref 239742125554, bank hdfc",2025-05-26,5910.95,debited,zomato,-5910.95,2025,5,26,239742125554,Food & Dining
"youve paid rs. 581.88 flipkart using phonepe 05jul2025. ac xxxx2714, ref 258052010989, bank axis",2025-05-07,581.88,debited,flipkart,-581.88,2025,5,7,258052010989,Shopping
payment inr 5433.68 made successfully ac xxxx3688 rahul mehta via google pay 04jun2025. transaction id 125393190411,2025-04-06,5433.68,debited,rahul mehta,-5433.68,2025,4,6,125393190411,Personal & Others
transaction alert rs. 2373.29 debited ac xxxx9363 03may2025 via google pay myntra. ref 808596204533,2025-03-05,2373.29,debited,myntra,-2373.29,2025,3,5,808596204533,Shopping
"inr 5968.66 successfully debited account xxxx1415 via upi flipkart 15apr2025. ref167687757996, hdfc phonepe",2025-04-15,5968.66,debited,flipkart,-5968.66,2025,4,15,167687757996,Shopping
"inr 886.64 successfully debited account xxxx6726 via upi myntra 13apr2025. ref205050324272, bob bhim",2025-04-13,886.64,debited,myntra,-886.64,2025,4,13,205050324272,Shopping
"dear user, rs. 3110.88 debited account xxxx6283 17may2025 upi payment suraj sharma. reference 631659142883, bank hdfc",2025-05-17,3110.88,debited,suraj sharma,-3110.88,2025,5,17,631659142883,Personal & Others
"dear user, rs. 1712.62 debited account xxxx3707 30may2025 upi payment myntra. reference 756205053223, bank axis",2025-05-30,1712.62,debited,myntra,-1712.62,2025,5,30,756205053223,Shopping
"inr 3829.64 successfully debited account xxxx4389 via upi rahul mehta 15jun2025. ref582655731675, bob google pay",2024-06-15,3892.64,debited,rahul mehta,-3892.64,2024,6,15,582655731675,Personal & Others
transaction alert rs. 3024.96 debited ac xxxx5927 18jul2025 via amazon pay jio mart. ref 551567275098,2025-07-18,3024.96,debited,jio mart,-3024.96,2025,7,18,551567275098,Shopping
transaction alert rs. 632.76 debited ac xxxx8229 27may2025 via amazon pay jio mart. ref 893726388428,2025-05-27,632.76,debited,jio mart,-632.76,2025,5,27,893726388428,Shopping
payment inr 6025.87 made successfully ac xxxx9587 suraj sharma via paytm 18jun2025. transaction id 893799952633,2025-06-18,6025.87,debited,suraj sharma,-6025.87,2025,6,18,893799952633,Personal & Others
"inr 5986.67 successfully debited account xxxx8077 via upi rahul mehta 03jun2025. ref188955636579, sbi amazon pay",2025-03-06,5986.67,debited,rahul mehta,-5986.67,2025,3,6,188955636579,Personal & Others
payment inr 3225.83 made successfully ac xxxx6166 jio mart via paytm 06apr2025. transaction id 975977181651,2025-06-04,3225.83,debited,jio mart,-3225.83,2025,6,4,975977181651,Shopping
"inr 3469.15 successfully debited account xxxx3581 via upi flipkart 28jun2025. ref896040592005, axis google pay",2025-06-28,3469.15,debited,flipkart,-3469.15,2025,6,28,896040592005,Shopping
payment inr 3737.39 made successfully ac xxxx3084 suraj sharma via amazon pay 12jul2025. transaction id 768511723398,2025-12-07,3737.39,debited,suraj sharma,-3737.39,2025,12,7,768511723398,Personal & Others
payment inr 4885.34 made successfully ac xxxx1888 suraj sharma via phonepe 26jul2025. transaction id 105694375378,2025-07-26,4855.34,debited,suraj sharma,-4855.34,2025,7,26,105694375378,Personal & Others
transaction alert rs. 3583.64 debited ac xxxx5269 21jul2025 via amazon pay myntra. ref 725076239345,2025-07-21,3583.64,debited,myntra,-3583.64,2025,7,21,725076239345,Shopping
"dear user, rs. 3044.87 debited account xxxx7164 14jul2025 upi payment rahul mehta. reference 963671808122, bank icici",2025-07-14,3044.87,debited,rahul mehta,-3044.87,2025,7,14,963671808122,Personal & Others
transaction alert rs. 1130.73 debited ac xxxx5690 08jul2025 via google pay big bazaar. ref 232395636956,2025-08-07,1130.73,debited,big bazaar,-1130.73,2025,8,7,232395636956,Shopping
"inr 4423.31 successfully debited account xxxx1462 via upi flipkart 07apr2025. ref563596504409, hdfc bhim",2025-07-04,4423.31,debited,flipkart,-4423.31,2025,7,4,563596504409,Shopping
"youve paid rs. 4307.23 myntra using paytm 13jul2025. ac xxxx7087, ref 747803447790, bank axis",2025-07-13,4307.23,debited,myntra,-4307.23,2025,7,13,747803447790,Shopping
transaction alert rs. 3304.81 debited ac xxxx7667 15may2025 via paytm flipkart. ref 901502570257,2025-05-15,3304.81,debited,flipkart,-3304.81,2025,5,15,901502570257,Shopping
"dear user, rs. 2573.4 debited account xxxx3661 03apr2025 upi payment suraj sharma. reference 105748656545, bank sbi",2025-03-04,2573.4,debited,suraj sharma,-2573.4,2025,3,4,105748656545,Personal & Others
"inr 6811.31 successfully debited account xxxx6939 via upi reliance fresh 24apr2025. ref522156544400, axis bhim",2025-04-24,6811.31,debited,reliance fresh,-6811.31,2025,4,24,522156544400,Shopping
"inr 3545.85 successfully debited account xxxx3691 via upi airtel 05apr2025. ref517585311369, bob bhim",2025-05-04,3545.85,debited,airtel,-3545.85,2025,5,4,517585311369,Other
"inr 8946.19 successfully debited account xxxx9597 via upi bookmyshow 16apr2025. ref332938343138, sbi phonepe",2025-04-16,8946.19,debited,bookmyshow,-8946.19,2025,4,16,332938343138,Entertainment
"inr 2182.94 successfully debited account xxxx5196 via upi dmart 15apr2025. ref673279451209, pnb paytm",2025-04-15,2182.94,debited,d-mart,-2182.94,2025,4,15,673279451209,Groceries
"inr 8748.77 successfully debited account xxxx6994 via upi practo 29jul2025. ref612554570201, pnb google pay",2025-07-29,8748.77,debited,practo,-8748.77,2025,7,29,612554570201,Health & Wellness
"inr 7177.37 successfully debited account xxxx8113 via upi hotstar 05jul2025. ref562517507032, pnb paytm",2025-05-07,7177.37,debited,hotstar,-7177.37,2025,5,7,562517507032,Entertainment
"inr 9825.52 successfully debited account xxxx2979 via upi zomato 30jan2025. ref415702367248, sbi google pay",2025-01-30,9825.52,debited,zomato,-9825.52,2025,1,30,415702367248,Food & Dining
"inr 6672.87 successfully debited account xxxx1622 via upi mcdonalds 16may2025. ref405040349498, pnb google pay",2025-05-16,6672.87,debited,mcdonalds,-6672.87,2025,5,16,405040349498,Other
"inr 558.87 successfully debited account xxxx4811 via upi internet bill 04mar2025. ref476995431299, axis amazon pay",2025-04-03,558.87,debited,internet bill,-558.87,2025,4,3,476995431299,Bills & Utilities
"inr 6719.26 successfully debited account xxxx4102 via upi mobile bill 01jan2025. ref239091649776, sbi paytm",2025-01-01,6719.26,debited,mobile bill,-6719.26,2025,1,1,239091649776,Bills & Utilities
"inr 906.06 successfully debited account xxxx3241 via upi vi recharge 15feb2025. ref298341695931, hdfc bhim",2025-02-15,906.06,debited,vi recharge,-906.06,2025,2,15,298341695931,Bills & Utilities
"inr 8525.99 successfully debited account xxxx7007 via upi kfc 03apr2025. ref682272532037, pnb amazon pay",2025-03-04,8525.99,debited,kfc,-8525.99,2025,3,4,682272532037,Food & Dining
"inr 7700.88 successfully debited account xxxx1120 via upi water bill 20apr2025. ref887955102610, icici google pay",2025-04-20,7700.88,debited,water bill,-7700.88,2025,4,20,887955102610,Bills & Utilities
"inr 5037.11 successfully debited account xxxx9350 via upi local kirana 26feb2025. ref882784703928, sbi bhim",2025-02-26,5037.11,debited,local kirana,-5037.11,2025,2,26,882784703928,Other
"inr 2171.69 successfully debited account xxxx3311 via upi ola 18apr2025. ref998538432645, hdfc bhim",2025-04-18,2171.69,debited,ola,-2171.69,2025,4,18,998538432645,Transportation
"inr 4021.14 successfully debited account xxxx1825 via upi udemy 20may2025. ref446088165988, icici amazon pay",2025-04-20,4021.14,debited,udemy,-4021.14,2025,4,20,446088165988,Education
"inr 6093.94 successfully debited account xxxx2797 via upi flipkart 25jul2025. ref425901421500, sbi amazon pay",2025-07-25,6093.94,debited,flipkart,-6093.94,2025,7,25,425901421500,Shopping
"inr 3659.46 successfully debited account xxxx2915 via upi redbus 19may2025. ref426087262357, icici phonepe",2025-05-19,3659.46,debited,redbus,-3659.46,2025,5,19,426087262357,Travel
"inr 5789.66 successfully debited account xxxx2347 via upi edx 26jan2025. ref884131994289, sbi paytm",2025-01-26,5789.66,debited,edx,-5789.66,2025,1,26,884131994289,Education
"inr 1658.73 successfully debited account xxxx3013 via upi bsnl 20mar2025. ref166796610200, axis google pay",2025-03-20,1658.73,debited,bsnl,-1658.73,2025,3,20,166796610200,Other
"inr 1057.52 successfully debited account xxxx8764 via upi gas agency 24jan2025. ref281927927138, axis phonepe",2025-01-24,1057.52,debited,gas agency,-1057.52,2025,1,24,281927927138,Bills & Utilities
"inr 8448.18 successfully debited account xxxx1672 via upi electricity board 23jan2025. ref929545709322, hdfc google pay",2025-01-23,8448.18,debited,electricity board,-8448.18,2025,1,23,929545709322,Bills & Utilities
"inr 3748.64 successfully debited account xxxx9540 via upi coursera 03jun2025. ref348429751790, icici phonepe",2025-03-06,3748.64,debited,coursera,-3748.64,2025,3,6,348429751790,Education
"inr 7126.71 successfully debited account xxxx9215 via upi gas agency 28feb2025. ref352159677280, hdfc phonepe",2025-02-28,7126.71,debited,gas agency,-7126.71,2025,2,28,352159677280,Bills & Utilities
"inr 6731.85 successfully debited account xxxx3936 via upi hotstar 27may2025. ref641239290914, icici bhim",2025-05-27,6731.85,debited,hotstar,-6731.85,2025,5,27,641239290914,Entertainment
"inr 9103.78 successfully debited account xxxx1617 via upi pharmeasy 05jun2025. ref980994302073, axis paytm",2025-05-06,9103.78,debited,pharmeasy,-9103.78,2025,5,6,980994302073,Health & Wellness
"inr 6661.17 successfully debited account xxxx9713 via upi practo 12mar2025. ref799960868407, sbi google pay",2025-12-03,6661.17,debited,practo,-6661.17,2025,12,3,799960868407,Health & Wellness
"inr 4341.00 successfully debited account xxxx9461 via upi pg rent 30may2025. ref393855868331, bob amazon pay",2025-05-30,4341.0,debited,pg rent,-4341.0,2025,5,30,393855868331,Rent
"inr 5808.87 successfully debited account xxxx9560 via upi rent transfer 26feb2025. ref708149571005, hdfc phonepe",2025-02-26,5808.87,debited,rent transfer,-5808.87,2025,2,26,708149571005,Rent
"inr 3695.41 successfully debited account xxxx8017 via upi redbus 14apr2025. ref986170828402, bob bhim",2025-04-14,3695.41,debited,redbus,-3695.41,2025,4,14,986170828402,Travel
"inr 2671.51 successfully debited account xxxx6706 via upi medplus 29apr2025. ref391584064088, axis bhim",2025-04-29,2671.51,debited,medplus,-2671.51,2025,4,29,391584064088,Health & Wellness
"inr 5465.25 successfully debited account xxxx2073 via upi irctc 15mar2025. ref142345159544, icici google pay",2025-03-15,5465.25,debited,irctc,-5465.25,2025,3,15,142345159544,Other
"inr 6865.56 successfully debited account xxxx9495 via upi coursera 17jul2025. ref986546192080, hdfc google pay",2025-07-17,6865.56,debited,coursera,-6865.56,2025,7,17,986546192080,Education
"inr 7395.73 successfully debited account xxxx7660 via upi airtel 13jan2025. ref452177754106, axis amazon pay",2025-01-13,7395.73,debited,airtel,-7395.73,2025,1,13,452177754106,Other
"inr 9776.57 successfully debited account xxxx7955 via upi pharmeasy 15feb2025. ref878891480602, hdfc paytm",2025-02-15,9776.57,debited,pharmeasy,-9776.57,2025,2,15,878891480602,Health & Wellness
"inr 450.40 successfully debited account xxxx3193 via upi internet bill 11jun2025. ref418954217864, pnb google pay",2025-11-06,450.4,debited,internet bill,-450.4,2025,11,6,418954217864,Bills & Utilities
"inr 8365.31 successfully debited account xxxx5717 via upi gas agency 31mar2025. ref782327741159, icici amazon pay",2025-03-31,8365.31,debited,gas agency,-8365.31,2025,3,31,782327741159,Bills & Utilities
"inr 3609.82 successfully debited account xxxx5556 via upi spencers 23feb2025. ref170482034561, sbi amazon pay",2025-02-23,3609.82,debited,spencer's,-3609.82,2025,2,23,170482034561,Shopping
"inr 484.52 successfully debited account xxxx9610 via upi amazon 23jun2025. ref553658802741, axis amazon pay",2025-01-23,484.52,debited,amazon,-484.52,2025,1,23,553658802741,Shopping
"inr 3992.24 successfully debited account xxxx8624 via upi airtel 24jul2025. ref464602068819, hdfc google pay",2025-07-24,3992.24,debited,airtel,-3992.24,2025,7,24,464602068819,Other
"inr 7038.29 successfully debited account xxxx6035 via upi hotstar 19jul2025. ref754450943285, pnb phonepe",2025-07-19,7038.29,debited,hotstar,-7038.29,2025,7,19,754450943285,Entertainment
"inr 2182.51 successfully debited account xxxx2028 via upi medplus 18jun2025. ref618379440196, hdfc paytm",2025-06-18,2182.51,debited,medplus,-2182.51,2025,6,18,618379440196,Health & Wellness
"inr 2745.45 successfully debited account xxxx9213 via upi gas agency 03feb2025. ref228439314907, pnb paytm",2025-03-02,2745.45,debited,gas agency,-2745.45,2025,3,2,228439314907,Bills & Utilities
"inr 4497.29 successfully debited account xxxx8219 via upi pharmeasy 18jul2025. ref402688662517, pnb paytm",2025-07-18,4497.29,debited,pharmeasy,-4497.29,2025,7,18,402688662517,Health & Wellness
"inr 1371.38 successfully debited account xxxx9911 via upi swiggy 09may2025. ref501042766075, sbi bhim",2025-09-05,1371.38,debited,swiggy,-1371.38,2025,9,5,501042766075,Food & Dining
"inr 3498.03 successfully debited account xxxx6730 via upi room rent 18jul2025. ref334891621102, pnb bhim",2025-07-18,3498.03,debited,room rent,-3498.03,2025,7,18,334891621102,Rent
"inr 3558.32 successfully debited account xxxx8100 via upi udemy 16jan2025. ref426266452623, hdfc amazon pay",2025-01-16,3558.32,debited,udemy,-3558.32,2025,1,16,426266452623,Education
"inr 2275.96 successfully debited account xxxx9402 via upi pharmeasy 04jan2025. ref832224591488, bob amazon pay",2025-04-01,2275.96,debited,pharmeasy,-2275.96,2025,4,1,832224591488,Health & Wellness
"inr 5473.99 successfully debited account xxxx7206 via upi jio 29may2025. ref653438173351, sbi phonepe",2025-05-29,5473.99,debited,jio,-5473.99,2025,5,29,653438173351,Bills & Utilities
"inr 8831.19 successfully debited account xxxx7586 via upi udemy 17jul2025. ref995990090045, bob google pay",2025-07-17,8831.19,debited,udemy,-8831.19,2025,7,17,995990090045,Education
"inr 9786.09 successfully debited account xxxx7920 via upi ola 26jan2025. ref171864329367, icici phonepe",2025-01-26,9786.09,debited,ola,-9786.09,2025,1,26,171864329367,Transportation
"inr 6267.93 successfully debited account xxxx5785 via upi irctc 14jul2025. ref852125320160, icici phonepe",2025-07-14,6267.93,debited,irctc,-6267.93,2025,7,14,852125320160,Other
"inr 9626.85 successfully debited account xxxx2227 via upi redbus 12jul2025. ref557194469894, hdfc bhim",2025-12-07,9626.85,debited,redbus,-9626.85,2025,12,7,557194469894,Travel
"inr 4994.85 successfully debited account xxxx9695 via upi hotstar 07mar2025. ref378228783453, bob paytm",2025-07-03,4994.85,debited,hotstar,-4994.85,2025,7,3,378228783453,Entertainment
"inr 2406.08 successfully debited account xxxx1856 via upi myntra 23apr2025. ref896550116180, pnb amazon pay",2025-04-23,2406.08,debited,myntra,-2406.08,2025,4,23,896550116180,Shopping
"inr 5588.41 successfully debited account xxxx4931 via upi 1mg 01jun2025. ref853801922904, sbi paytm",2025-01-06,5588.41,debited,1mg,-5588.41,2025,1,6,853801922904,Health & Wellness
"inr 2384.69 successfully debited account xxxx2097 via upi amazon 24apr2025. ref701735778192, icici bhim",2025-04-24,2384.69,debited,amazon,-2384.69,2025,4,24,701735778192,Shopping
"inr 410.68 successfully debited account xxxx3659 via upi coursera 22feb2025. ref898947083842, axis paytm",2025-02-22,410.68,debited,coursera,-410.68,2025,2,22,898947083842,Education
"inr 2851.27 successfully debited account xxxx8267 via upi pg rent 15apr2025. ref583174029268, sbi google pay",2025-04-15,2851.27,debited,pg rent,-2851.27,2025,4,15,583174029268,Rent
"inr 4913.93 successfully debited account xxxx9178 via upi internet bill 04apr2025. ref313103444361, pnb phonepe",2025-04-04,4913.93,debited,internet bill,-4913.93,2025,4,4,313103444361,Bills & Utilities
"inr 1153.98 successfully debited account xxxx6371 via upi internet bill 06feb2025. ref542381297636, pnb paytm",2025-06-02,1153.98,debited,internet bill,-1153.98,2025,6,2,542381297636,Bills & Utilities
"inr 8985.84 successfully debited account xxxx4643 via upi bookmyshow 01jan2025. ref268447682190, bob google pay",2025-01-01,8985.84,debited,bookmyshow,-8985.84,2025,1,1,268447682190,Entertainment
"inr 8419.08 successfully debited account xxxx3258 via upi uber 12apr2025. ref129512230227, icici phonepe",2025-12-04,8419.08,debited,uber,-8419.08,2025,12,4,129512230227,Transportation
"inr 7151.08 successfully debited account xxxx5203 via upi swiggy 09may2025. ref644453061901, pnb google pay",2025-09-05,7151.08,debited,swiggy,-7151.08,2025,9,5,644453061901,Food & Dining
"inr 4822.94 successfully debited account xxxx2772 via upi redbus 15jul2025. ref985467023119, pnb google pay",2025-07-15,4822.94,debited,redbus,-4822.94,2025,7,15,985467023119,Travel
"inr 2034.14 successfully debited account xxxx4973 via upi nykaa 11feb2025. ref540861485262, sbi amazon pay",2025-11-02,2034.14,debited,nykaa,-2034.14,2025,11,2,540861485262,Shopping
"inr 8609.68 successfully debited account xxxx6445 via upi irctc 09mar2025. ref758992518782, sbi google pay",2025-09-03,8609.68,debited,irctc,-8609.68,2025,9,3,758992518782,Other
"inr 860.67 successfully debited account xxxx3433 via upi pharmeasy 27jun2025. ref220952753303, bob paytm",2025-06-27,860.67,debited,pharmeasy,-860.67,2025,6,27,220952753303,Health & Wellness
"inr 5278.23 successfully debited account xxxx1080 via upi byjus 13apr2025. ref217870845295, sbi bhim",2025-04-13,5278.23,debited,byjus,-5278.23,2025,4,13,217870845295,Education
"inr 5049.46 successfully debited account xxxx7006 via upi redbus 15may2025. ref895917770737, hdfc paytm",2025-05-15,5049.46,debited,redbus,-5049.46,2025,5,15,895917770737,Travel
"inr 1399.56 successfully debited account xxxx8759 via upi electricity board 16mar2025. ref188842877985, sbi google pay",2025-03-16,1399.56,debited,electricity board,-1399.56,2025,3,16,188842877985,Bills & Utilities
"inr 107.12 successfully debited account xxxx7482 via upi nykaa 14jul2025. ref398034088632, bob amazon pay",2025-07-14,107.12,debited,nykaa,-107.12,2025,7,14,398034088632,Shopping
"inr 504.71 successfully debited account xxxx5204 via upi mcdonalds 15jul2025. ref742722886717, bob google pay",2025-07-15,504.71,debited,mcdonalds,-504.71,2025,7,15,742722886717,Other
"inr 7359.31 successfully debited account xxxx4708 via upi jio 16apr2025. ref444916622840, icici google pay",2025-04-16,7359.31,debited,jio,-7359.31,2025,4,16,444916622840,Bills & Utilities
"inr 5144.18 successfully debited account xxxx2959 via upi rent transfer 27feb2025. ref593019792575, hdfc google pay",2025-02-27,5144.18,debited,rent transfer,-5144.18,2025,2,27,593019792575,Rent
"inr 2087.58 successfully debited account xxxx8105 via upi zomato 13feb2025. ref788255956688, hdfc phonepe",2025-02-13,2087.58,debited,zomato,-2087.58,2025,2,13,788255956688,Food & Dining
"inr 1636.87 successfully debited account xxxx3574 via upi dominos 21mar2025. ref355628885196, hdfc phonepe",2025-03-21,1636.87,debited,dominos,-1636.87,2025,3,21,355628885196,Food & Dining
"inr 7762.14 successfully debited account xxxx6523 via upi vi recharge 17may2025. ref378480641583, bob bhim",2025-05-17,7762.14,debited,vi recharge,-7762.14,2025,5,17,378480641583,Bills & Utilities
"inr 899.33 successfully debited account xxxx8055 via upi udemy 08feb2025. ref730820565343, bob paytm",2025-08-02,899.23,debited,udemy,-899.23,2025,8,2,730820565343,Education
"inr 9036.77 successfully debited account xxxx7213 via upi electricity board 30may2025. ref142912720699, hdfc google pay",2025-05-30,9036.77,debited,electricity board,-9036.77,2025,5,30,142912720699,Bills & Utilities
"inr 2301.49 successfully debited account xxxx4871 via upi hotstar 26mar2025. ref362221479304, bob amazon pay",2025-05-26,2301.49,debited,hotstar,-2301.49,2025,5,26,362221479304,Entertainment
"inr 673.93 successfully debited account xxxx5911 via upi redbus 01jun2025. ref185098111789, pnb phonepe",2025-01-06,673.93,debited,redbus,-673.93,2025,1,6,185098111789,Travel
"inr 9417.27 successfully debited account xxxx7488 via upi spencers 04jun2025. ref127499349647, bob bhim",2025-04-06,9417.27,debited,spencer's,-9417.27,2025,4,6,127499349647,Shopping
"inr 6241.17 successfully debited account xxxx1174 via upi uber 13feb2025. ref891968919411, sbi phonepe",2025-02-13,6241.17,debited,uber,-6241.17,2025,2,13,891968919411,Transportation
"inr 1995.49 successfully debited account xxxx4677 via upi swiggy 01jan2025. ref890070562809, bob paytm",2025-01-01,1995.49,debited,swiggy,-1995.49,2025,1,1,890070562809,Food & Dining
"inr 7913.63 successfully debited account xxxx9026 via upi dominos 15feb2025. ref672767584948, icici phonepe",2025-02-15,7913.63,debited,dominos,-7913.63,2025,2,15,672767584948,Food & Dining
"inr 9356.58 successfully debited account xxxx8955 via upi practo 08may2025. ref613156199407, axis phonepe",2025-08-05,9356.58,debited,practo,-9356.58,2025,8,5,613156199407,Health & Wellness
"inr 7079.46 successfully debited account xxxx8813 via upi swiggy 26feb2025. ref993243382475, icici amazon pay",2025-02-26,7079.46,debited,swiggy,-7079.46,2025,2,26,993243382475,Food & Dining
"inr 4452.39 successfully debited account xxxx9302 via upi udemy 07jul2025. ref299181277196, icici google pay",2025-07-07,4452.39,debited,udemy,-4452.39,2025,7,7,299181277196,Education
"inr 2775.45 successfully debited account xxxx5703 via upi gas agency 18feb2025. ref407894644473, icici phonepe",2025-02-18,2775.45,debited,gas agency,-2775.45,2025,2,18,407894644473,Bills & Utilities
"inr 2315.13 successfully debited account xxxx7759 via upi big bazaar 20jan2025. ref441667282920, hdfc bhim",2025-01-20,2315.13,debited,big bazaar,-2315.13,2025,1,20,441667282920,Shopping
"inr 8229.32 successfully debited account xxxx3092 via upi mobile bill 13jun2025. ref211676606650, axis amazon pay",2025-06-13,8229.32,debited,mobile bill,-8229.32,2025,6,13,211676606650,Bills & Utilities
"inr 2265.04 successfully debited account xxxx6981 via upi spotify 14jun2025. ref921718550472, bob phonepe",2025-06-14,2265.04,debited,spotify,-2265.04,2025,6,14,921718550472,Entertainment
"inr 3269.11 successfully debited account xxxx9406 via upi airtel 08mar2025. ref846937626288, pnb paytm",2025-08-03,3269.11,debited,airtel,-3269.11,2025,8,3,846937626288,Other
"inr 8881.12 successfully debited account xxxx8292 via upi myntra 04may2025. ref239712460838, pnb amazon pay",2025-04-05,8881.12,debited,myntra,-8881.12,2025,4,5,239712460838,Shopping
"inr 1959.45 successfully debited account xxxx3200 via upi edx 04apr2025. ref165275778289, sbi amazon pay",2025-04-04,1959.45,debited,edx,-1959.45,2025,4,4,165275778289,Education
"inr 3040.00 successfully debited account xxxx4204 via upi practo 01apr2025. ref500386390463, axis phonepe",2025-08-06,3040.0,debited,practo,-3040.0,2025,8,6,500386390463,Health & Wellness
"inr 2633.53 successfully debited account xxxx3777 via upi vi recharge 08jun2025. ref376584569870, hdfc paytm",2025-04-01,2633.53,debited,vi recharge,-2633.53,2025,4,1,376584569870,Bills & Utilities
"inr 4019.65 successfully debited account xxxx6609 via upi medplus 04jan2025. ref577977558966, icici google pay",2025-04-01,4019.65,debited,medplus,-4019.65,2025,4,1,577977558966,Health & Wellness
